2025-04-08T06:46:23.597Z [INFO]: 
🚀 Server listening on port 3000
2025-04-10T04:22:08.146Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T04:22:08.150Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:22:08.166Z [INFO]: GET /users/all - ::1
2025-04-10T04:22:14.309Z [INFO]: OPTIONS /projects/add-user - ::1
2025-04-10T04:22:14.313Z [INFO]: PUT /projects/add-user - ::1
2025-04-10T04:22:20.027Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:22:20.031Z [INFO]: GET /projects/all - ::1
2025-04-10T04:22:21.645Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:22:21.653Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T04:22:21.657Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:22:21.676Z [INFO]: GET /users/all - ::1
2025-04-10T04:22:36.304Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:22:36.309Z [INFO]: GET /projects/all - ::1
2025-04-10T04:22:37.034Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:22:37.048Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T04:22:37.054Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:22:37.056Z [INFO]: GET /users/all - ::1
2025-04-10T04:23:57.588Z [INFO]: OPTIONS /users/register - ::1
2025-04-10T04:23:57.591Z [INFO]: POST /users/register - ::1
2025-04-10T04:23:57.869Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:23:57.876Z [INFO]: GET /projects/all - ::1
2025-04-10T04:24:09.276Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:24:09.281Z [INFO]: GET /projects/all - ::1
2025-04-10T04:24:10.259Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:24:10.264Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T04:24:10.267Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:24:10.272Z [INFO]: GET /users/all - ::1
2025-04-10T04:24:12.527Z [INFO]: OPTIONS /projects/add-user - ::1
2025-04-10T04:24:12.530Z [INFO]: PUT /projects/add-user - ::1
2025-04-10T04:24:38.591Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:24:38.594Z [INFO]: GET /projects/all - ::1
2025-04-10T04:24:40.432Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:24:40.435Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T04:24:40.439Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:24:40.441Z [INFO]: GET /users/all - ::1
2025-04-10T04:30:08.670Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:30:08.675Z [INFO]: GET /projects/all - ::1
2025-04-10T04:30:18.952Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:30:18.955Z [INFO]: POST /users/login - ::1
2025-04-10T04:30:27.651Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:30:27.654Z [INFO]: POST /users/login - ::1
2025-04-10T04:30:39.159Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:30:39.163Z [INFO]: POST /users/login - ::1
2025-04-10T04:31:28.103Z [INFO]: 
🚀 Server listening on port 3000
2025-04-10T04:31:39.294Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:31:39.302Z [INFO]: POST /users/login - ::1
2025-04-10T04:31:39.537Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:31:39.548Z [INFO]: GET /projects/all - ::1
2025-04-10T04:32:27.777Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:32:27.781Z [INFO]: GET /projects/all - ::1
2025-04-10T04:32:36.779Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:32:36.784Z [INFO]: GET /projects/all - ::1
2025-04-10T04:32:39.252Z [INFO]: GET /projects/all - ::1
2025-04-10T04:33:01.344Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:33:01.348Z [INFO]: GET /projects/all - ::1
2025-04-10T04:33:06.780Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:33:06.785Z [INFO]: GET /projects/all - ::1
